game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Call of Duty: Black Ops,1528,72,669,1,Q207986,rec7UK8LrVGMN8aUf
The Last Guardian,1529,72,679,1,Q2701341,recXHpjRaEtDO4vfn
Ratchet: Deadlocked,1530,72,685,1,Q2400280,recCTtV7H9KU6rm2Z
Ratchet & Clank Future: Quest for Booty,1531,72,685,1,Q2456691,recGNgEfqwXCi9Ym8
Ratchet & Clank Future: A Crack in Time,1532,72,685,1,Q2312963,rec1b0by5965WjDF7
Ratchet & Clank: Into the Nexus,1533,72,685,1,Q13759410,recTERVqInsH2xBae
NBA Jam: Tournament Edition,1534,72,694,1,Q2248339,recsL6pp5sMxShOb0
La Abadía del Crimen,1535,72,695,1,Q4894453,recfsshNWy1wMGL5A
Pokemon Crystal,1536,72,698,1,Q2351827,recMFhjPDZLHfJBQz
Pokemon Blue,1537,72,698,1,Q25536524,recSrCJtEKsRyoBEI
Pokemon Red and Green,1538,72,698,1,Q91030617,recYVDv8exXQn0pkM
Deus Ex: Invisible War,1539,72,706,1,Q252198,recna4BkGcAiBpDN4
Return of the Obra Dinn,1540,72,710,1,Q48987695,rec9M2ykHJWfVmGQ2
Robotron,1541,72,719,1,Q60739812,recrIvX690nILS4DI
Tekken Tag Tournament,1542,72,719,1,Q1142527,recfMeUAAodhCq7ky
Sinistar,1543,72,739,1,Q7524416,rectCow8p1AiCW6mT
Underwurlde,1544,72,740,1,Q634457,recuYcn1YkrARGbAS
Theme Hospital,1545,72,747,1,Q588710,recfjBsGIjIqqe5M5
Gears of War 3,1546,72,751,1,Q1050833,rechAAczkxlAnYBBx
Sanitarium,1547,72,755,1,Q586267,recgzUJrLbwd6NDOq
Colin McRae Rally 04,1548,72,774,1,Q868260,rec9W8IOoy7Xspo6M
Aliens vs. Predator 2,1549,72,786,1,Q1931479,recGcFaVxXwiV4rBS
Frog Fractons,1550,73,646,1,Q5505184,recn5MhqWgs51ljG4
PlayerUnknown's Battlegrounds,1551,73,676,1,Q28937399,recgl280C2HWuPW1e
