game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Tetris,1,1,1,30,Q71910,recXIjcDJGWtPxsYo
The Legend of Zelda: Ocarina of Time,2,2,2,25,Q213911,recL5pkwLOvBedc4F
The Legend of Zelda: A Link to the Past,3,3,11,22,Q370055,recHGBufAbRJM3mR8
Doom (1993),4,4,3,24,Q189784,recVC9XQ22Rzm6OrV
Half-Life 2,5,5,12,22,Q193581,recDTV7uPDbinjZot
Super Mario 64,6,6,7,23,Q216995,reccr8QVPuXHt8jqF
Super Mario World,7,7,13,20,Q853143,recmCp8PtJkK95AFj
World of Warcraft,8,8,10,23,Q131007,reccIuj2qErNSJh7v
Super Mario Kart,9,9,4,24,Q1061560,rec2QMhUjZOvNH6eb
Final Fantasy 7,10,9,6,24,Q214232,recJc2gxijjQo5Ppu
Street Fighter 2,11,10,16,19,Q1133204,reccCTpDxN0YPDa9n
Resident Evil 4,12,11,8,23,Q275950,recOCgmltDS8R4o4B
GoldenEye 007,13,11,9,23,Q369086,recjcMdIbTYj900Nv
Super Metroid,14,12,5,24,Q1194825,recF02Pim6023M1MD
Halo: Combat Evolved,15,12,14,20,Q276217,recNjXcEkog9XUWqt
Red Dead Redemption,16,12,20,19,Q548203,rectJ9EoDSrqVrP0G
BioShock,17,13,15,20,Q57270,rec6yVj8kqKnQpllb
Metal Gear Solid,18,13,17,19,Q6582527,recW5huqNtSS29c82
Castlevania: Symphony of the Night,19,13,19,19,Q2007022,recKdTD4IuJRuFbA0
Super Mario Bros. 3,20,13,34,15,Q639619,recViqihkQLjZhehC
Chrono Trigger,21,14,18,19,Q761815,recx8OIJanZwEqf4E
StarCraft,22,14,25,17,Q165929,reckZbsNJuTYyQUVR
Portal 2,23,14,28,17,Q279446,reclPz0WxNr9ACf4y
The Last of Us,24,14,30,16,Q1986744,rec8yGRF9hRA1jjL1
Deus Ex,25,15,22,19,Q644793,recUfKBMxKFzhv1vX
Mass Effect 2,26,16,23,18,Q725057,recoFJrbiWQqjQg73
Diablo 2,27,16,27,17,Q244033,recRgorHzTYfKXxnl
Minecraft,28,16,35,15,Q49740,recVDkV7x0Wxjuklb
Half-Life,29,16,41,14,Q279744,recoy3m2eLhZrrb0a
The Elder Scrolls 5: Skyrim,30,16,43,14,Q323862,rec7l0k1oeGJvI5Ia
Portal,31,16,45,13,Q274897,reczvyQ5ZIVfvwNGv
Call of Duty 4: Modern Warfare,32,17,31,16,Q76255,recb2GrOM41QalV0S
Super Mario Bros.,33,17,42,14,Q11168,recbVhJO71ZoCO0uQ
Metal Gear Solid 3: Snake Eater,34,17,47,13,Q247935,recNNqNEctHAuPifd
Shadow of the Colossus,35,18,26,17,Q846051,rec11ZPrGSK9whJrm
SimCity 2000,36,18,37,15,Q1767176,recoTao5vfcnfCk85
Uncharted 2: Among Thieves,37,19,24,18,Q17146,recdBdzmmiaFsVUTa
Metroid Prime,38,20,21,19,Q1765733,recNXkmYvoSL80c0Y
Tomb Raider (1996),39,20,29,17,Q317620,recAmSADP73Oo6KrG
Sonic the Hedgehog,40,21,33,16,Q37123,recJ5gxYZM02MC6UO
Donkey Kong,41,21,36,16,Q12384,recMQefFFALgnFt2z
Star Wars: Knights of the Old Republic,42,21,38,15,Q725902,reckN1pEyQUxg4MkA
Counter-Strike,43,21,44,14,Q163628,reccZz6hkX8d6Gwg0
Grand Theft Auto 3,44,21,46,13,Q149106,reczHTmMAuhfC0kPi
Final Fantasy 6,45,21,54,12,Q535940,recvdfLYno7qNPYlD
Silent Hill 2,46,22,32,16,Q752835,recBbmZUhxmlm9N5J
Fallout 3,47,23,48,13,Q221164,rec4L23idye7izmoJ
The Sims,48,23,49,13,Q184816,recjcvI7Df9QlLobb
Pac-Man,49,23,50,13,Q173626,recPcxOPblUoCNvhu
Ico,50,23,52,13,Q1324448,recJW0HuC3TZxVKAN
Resident Evil (1996),51,23,56,12,Q1248594,recrZKhBsSKSwogvJ
NBA Jam,52,23,57,12,Q1959943,recHe7pU223D8s016
Punch-Out!!,53,23,58,12,Q2705496,rec62foRQmFZrdHkk
Ms. Pac-Man,54,23,62,11,Q2141683,recST9UThhdnevAkp
Grim Fandango,55,24,39,15,Q592507,rec4lqCgawzIaYM6J
X-COM UFO Defense,56,24,40,16,Q61731716,recLIYgkQj2vMuPG7
The Witcher 3: Wild Hunt,57,24,64,11,Q4267401,recK5bPdaWXrYoFwS
Pokemon Red and Blue,58,25,55,12,Q637137,rec73KePEgABzn6qX
Dark Souls,59,26,63,11,Q1166232,recCPajXdrMXWmtDP
Grand Theft Auto: San Andreas,60,26,65,11,Q83265,recwcHBowwIIlwRYS
Space Invaders,61,27,51,13,Q220665,recSF8vz6U3udFHev
Lemmings,62,27,53,13,Q864177,rec3uXZztoaXH6Ue7
Sonic the Hedgehog 2,63,27,59,12,Q35627,recDxUopS8zLR7bFp
Prince of Persia: The Sands of Time,64,27,60,12,Q715292,recjMBre7PbzEsCQf
Grand Theft Auto: Vice City,65,27,78,10,Q94671,recSPXUjixRSTDKM0
Mega Man 2,66,28,61,12,Q2014882,recORlnozDXd385ZH
Star Wars: TIE Fighter,67,28,70,11,Q55312,rec7cPId7JsLH7UV7
Dishonored,68,28,72,11,Q323264,recWFHhwec5DIZBW7
Grand Theft Auto 5,69,28,75,10,Q17452,rec7G4aJ5M3U6KhfB
Secret of Mana,70,29,66,11,Q1800173,recaiopgi3fQ9Gjvm
Super Mario World 2: Yoshi's Island,71,29,67,11,Q1045765,rec94PlfqfaXLID98
Pong,72,29,68,11,Q216293,recPrFqmCA5toOHwR
Baldur's Gate 2: Shadows of Amn,73,29,69,11,Q804859,recERCmR8AIFa7SXF
Monkey Island 2: LeChuck's Revenge,74,29,71,11,Q841755,recdVXKLN8giqkOhI
Gauntlet,75,29,73,11,Q734758,recSkfyZXObO68Z3T
Double Dragon,76,29,76,11,Q698705,recnWkjmQCUQ1H73v
The Legend of Zelda,77,29,77,10,Q12395,rec3H5BWYdt53u3Op
Super Mario Galaxy 2,78,29,79,10,Q854487,rec6aeW9tTF89hp6r
Civilization 2,79,29,81,10,Q845290,recPi23oaGYzu3ZZt
EarthBound,80,29,82,10,Q2529000,recGmJcWgJL170A6v
SimCity (1989),81,29,83,10,Q7798922,recMYiaRJLRsm9dTF
System Shock 2,82,29,84,10,Q1371495,recNYrtUgSUfWt3SN
Quake,83,29,85,10,Q217423,rec0UXChuziJmoQTm
Asteroids,84,29,88,10,Q748890,recihOx19uBdobitP
Super Smash Bros. Melee,85,29,98,9,Q1052131,recEIicjzcyBfpDKo
Galaga,86,29,101,9,Q1043534,recRuuaDn5mK6jty4
Batman: Arkham Asylum,87,29,102,9,Q746228,recNhPMUN3U0ZfcpT
Journey,88,30,80,10,Q677274,recgtOVMBAemPqqkh
The Secret of Monkey Island,89,30,86,10,Q179247,recfkSWxxMP40aBFP
Mortal Kombat 2,90,30,87,10,Q843486,recvUFrVMwwgV0jmH
Age of Empires 2,91,30,89,10,Q34852,recoW6g8KXUWlKndJ
Shenmue,92,30,90,10,Q654354,recc5mgxn6J3sK02P
Donkey Kong Country,93,30,95,10,Q518987,recZYXX7GDo41MPQQ
Braid,94,30,96,10,Q897376,recLzD1yhpA2dFApE
Day of the Tentacle,95,31,74,11,Q845645,reciTWvPFjSxtSZbj
Batman: Arkham City,96,31,94,10,Q288811,rec8UNrUBboHGped4
The Legend of Zelda: Breath of the Wild,97,31,100,9,Q17185964,recl9tk8Mbo9i0jNS
Bloodborne,98,31,104,9,Q17154554,rec6dcFw5p9ZBx5xz
Ōkami,99,32,91,10,Q385184,recMNVnnRiClNJh2b
Mortal Kombat,100,32,106,9,Q150294,reckLqpRNmIQAmB28
Advance Wars 2: Black Hole Rising,101,32,108,9,Q2569478,recAR6hguPdoyPryx
Pitfall!,102,33,93,10,Q1573878,recOLNgvhklT5mK7i
The Legend of Zelda: The Wind Waker,103,34,97,9,Q852563,recwlc2CqHNaHafqS
Tony Hawk's Pro Skater 2,104,34,103,9,Q1538485,rec0uYlERde8PdYsK
Myst,105,35,92,10,Q6497116,rechNXjy0FOSK3HpL
Planescape: Torment,106,35,99,9,Q847638,rec5SFJcqAyr8rvsG
Tekken 3,107,35,107,9,Q1062106,recBeSnzvZVDnniPf
Elite,108,35,110,8,Q55815,receiKY6NT1gi4cmg
Grand Theft Auto 4,109,35,111,8,Q94797,recr3YZu7nJQrMyOB
Assassin's Creed 2,110,35,112,8,Q211735,rec6nuf7UlPxDVN2t
Civilization 4,111,35,113,8,Q2377,reck3CK5zdH3GSrFa
Burnout 3: Takedown,112,35,114,8,Q2079604,recbEV0AqluAkHFsT
Spelunky,113,35,115,8,Q2700296,recsDvvXVQuIL86mJ
Command and Conquer: Red Alert,114,35,128,8,Q388225,recMEOeXKh12Zy3ZX
Wipeout,115,36,109,9,Q286205,recxv460GcSVYiQ4D
Soul Calibur,116,36,116,8,Q1060715,recYqSqNSVPq2JT37
Gran Turismo,117,36,118,8,Q944320,recuEGzDMzzlFpPvH
Contra,118,37,119,8,Q849328,rec6vUgSdUWoHBTiu
Defender,119,38,105,9,Q1182593,reciWnmK8TuXOxPQi
God of War (2005),120,38,117,8,Q817369,recYY5KVPXGUdCye7
Zork,121,38,120,8,Q2192105,reczISbfJHehiMIrm
Tom Clancy's Splinter Cell: Chaos Theory,122,38,121,8,Q533304,rec47a51vPDAzqA93
The Legend of Zelda: Majora's Mask,123,38,122,8,Q732943,rec2LUNGOfOeyWzjS
Homeworld,124,38,123,8,Q1116724,rec2cy2W9J6cqlvh6
Resident Evil 2,125,38,124,8,Q733992,recVJCkuaOwBoEvve
R-Type,126,38,125,8,Q55673,rec4aTiqdzN0gjGau
Wii Sports,127,38,126,8,Q71936,recCVEFzM0aXtOdVQ
Max Payne,128,38,127,8,Q1175156,recdJDAJbXvBWspWo
The Elder Scrolls 4: Oblivion,129,38,129,8,Q49607,recqSUgpqWB0zBgXr
Thief: The Dark Project,130,38,130,8,Q931737,rec6Tw0WZlUnAm0Ui
Ninja Gaiden,131,38,132,9,Q2658381,recRT64KE9Wdu5tgy
Super Mario Galaxy,132,38,134,7,Q170489,recYXPZnKGfEGSfZM
Doom 2,133,38,135,7,Q755186,recwXvpLALgwYHkxf
Wolfenstein 3D,134,38,136,7,Q18940,recH7QxYivooqUUMp
Rock Band,135,38,139,7,Q1195153,recAKiuZI2QfsgHB5
Halo 2,136,38,141,7,Q252804,reck1aJgXd0YGIXq2
Civilization,137,38,143,7,Q368286,reck8uRuVZspGRZst
Quake 3 Arena,138,38,146,7,Q726545,recILT5lIKwJeIGOg
Bayonetta,139,38,150,7,Q791569,recxEAXj9tH4BYbsU
Left 4 Dead,140,38,151,7,Q323981,recorVLmYFr5tSO7p
Gran Turismo 3: A-Spec,141,38,152,7,Q975773,recigYKu50sRC4lg5
Dead Space,142,38,154,7,Q729074,rec9Pn3SajD58iBkv
Prince of Persia,143,38,155,7,Q852583,recXQnQAU5jwsexw7
Duke Nukem 3D,144,38,157,7,Q728061,reciDjubZbkfcaJSR
Limbo,145,39,131,8,Q1339030,recHi55S1FFyHl6Iy
Star Fox 64,146,39,133,8,Q1141963,recw933W4VJvzlM9q
Halo 3,147,39,137,7,Q137802,recTroBm6XMKFTemd
Overwatch,148,39,140,7,Q18515944,recp9StpEsFxQvEj6
Rock Band 3,149,39,142,7,Q2543862,recuRXrLmeYo1jv2Y
Gears of War,150,39,145,7,Q636219,recPE6z1o6xOBOlbu
Jet Set Radio,151,39,147,7,Q1470515,recqQ5sChReAyTGIW
Left 4 Dead 2,152,39,148,7,Q472909,recYOVdffkjDHxXIE
Unreal Tournament,153,39,149,7,Q627877,recjNyacDHa5KPkZB
Another World,154,39,156,7,Q257469,rec2yWdWZdYiev3Wk
Thief 2: The Metal Age,155,39,158,7,Q795365,recqg2fIY1HfhzBCL
Ikaruga,156,39,159,7,Q1658068,rec6zL79wS3cHaiz7
Angry Birds,157,39,161,7,Q4558721,recI2IbxZ8BqhPFLd
Fallout 2,158,40,153,7,Q910938,rec5EyCNFoGjP5vmp
The Legend of Zelda: Link's Awakening,159,41,138,7,Q1060323,recrVNNzPYh3D9gPp
Sensible World of Soccer,160,41,144,7,Q1507141,reca1qIqCKeMq36kv
LittleBigPlanet,161,41,160,7,Q282548,recfahGT6mpgrLbMR
Company of Heroes,162,41,162,7,Q500851,recwN9uU4G4QZs1oL
Missile Command,163,41,163,7,Q1192794,recEJhGVmgv4NiY1R
The Elder Scrolls 3: Morrowind,164,41,164,6,Q718448,recaZJCavHkpct0kS
Final Fantasy Tactics,165,41,165,6,Q591378,recNN9RSXJMzjpdrd
Robotron: 2084,166,41,166,6,Q1736788,recmATQ3x7qROMyL2
Ultima Online,167,41,167,6,Q1043550,recSz5Xj6fzucWd0k
Rock Band 2,168,41,168,6,Q2569492,recT5fqypzPVN8iqm
Guitar Hero,169,41,170,6,Q116578,recDhO4gp7ZY2k6Q6
The Oregon Trail,170,41,171,6,Q1574053,rec2ulBIeoDKIlMEp
EverQuest,171,41,172,6,Q1134845,recWSKCcJ09K7l2Lz
Katamari Damacy,172,41,173,6,Q1206519,reclXSj7bffYJqNbq
Team Fortress 2,173,41,174,6,Q382108,recQoT0KDOQkAQ4ty
Diablo,174,41,175,6,Q220960,rec8ImqzaIoZqqzXd
Persona 4,175,41,176,7,Q568609,recwzd7fmhyAxA5B2
Animal Crossing,176,41,177,6,Q5345827,recZsUtCIM0QRHQFR
Hitman: Blood Money,177,41,178,6,Q239889,recgiYyW0HZFa1JbZ
Soul Calibur 2,178,41,179,6,Q2067832,rec3ogQpqQoAEMEwl
Inside,179,41,180,6,Q22019785,reclDKDbxjcCvQA6q
Rez,180,41,181,6,Q693311,rechjw8xa41Pd15vN
Psychonauts,181,41,182,6,Q1277009,recaw3ynei2P14vgz
Outrun,182,41,183,6,Q1142287,recqMid1wbwonXNUy
Ultima 7: The Black Gate,183,41,185,6,Q2376909,recXENJR71JAtMnhU
Devil May Cry 3: Dante's Awakening,184,41,186,6,Q839794,reckgTw0flTvlCBWZ
Beyond Good and Evil,185,41,187,6,Q794367,rec5LWO6ktewkcJwR
God of War 2,186,41,193,6,Q2252689,recpfbIk6RzDheWyv
Devil May Cry,187,41,194,6,Q840889,recN7Zueec0z7wSlO
Parappa the Rapper,188,41,196,6,Q1340462,recj6DuonHl4QvS0H
Daytona USA,189,41,197,6,Q1326048,recO8XLmajXyfFnHy
Dota 2,190,42,169,6,Q771541,recuYHzSHiqnGz2eZ
Phantasy Star 4,191,42,184,6,Q626822,recAPJd3tRYh1kY88
Destiny,192,42,190,6,Q210275,recyR60HujImAJcIt
Rome: Total War,193,43,188,6,Q471803,recCVtadbuQ7sHGIo
Star Wars Jedi Knight: Dark Forces 2,194,43,189,6,Q55291,rece1TgC458I2dzgz
Bubble Bobble,195,43,191,6,Q88759,rec7pq96hNdcR8dvK
Speedball 2: Brutal Deluxe,196,43,192,6,Q1883369,recNEReBBIB3yYNKn
Sam & Max Hit the Road,197,43,195,6,Q1430706,recD7hAsUiUUv51hu
Marble Madness,198,43,199,6,Q582642,recIolkCAgYhHz1vn
Burnout Paradise,199,43,202,5,Q1016838,rec4dwFW8Gbpg9Z9p
Metal Gear Solid 2: Sons of Liberty,200,43,203,5,Q907226,rec7tQuSR4whuljYX
Final Fantasy 4,201,43,204,5,Q911226,rec3ucv9hMVFYEO9a
Mass Effect,202,43,207,5,Q275960,recXazuKzlAipnDQ6
Adventure,203,43,208,5,Q379915,recJ0yLyzskFxcC9n
The Sims 2,204,43,209,5,Q182771,recM1cexBCoQJKznR
Command & Conquer,205,43,210,5,Q868523,recHiVs0wfUiN1Jqu
Battlefield 2,206,43,211,5,Q206653,rec6fFjnitmKDhxoU
Dance Dance Revolution,207,43,212,5,Q4920311,recz14mqwiRdR43W1
Fallout,208,43,213,5,Q60102,recc2BwOAQYzZ1YGL
Streets of Rage 2,209,43,214,5,Q2569030,recsob4MO3qdJrWBg
Star Wars,210,43,215,5,Q54317,rec09DnAgqsYYM7J3
Flashback,211,43,217,5,Q1001925,recRldnjhmfelxIk8
Virtua Racing,212,43,218,5,Q1849822,recs5TDOqxVvWfmbD
Warcraft 2: Tides of Darkness,213,43,220,5,Q741716,reclqRcjJgmLHmSHc
Final Fantasy 8,214,43,221,5,Q245006,recb5ncxlWbLTz8Jp
Freespace 2,215,43,222,5,Q1125377,recPEqbo9ACXSVAmt
Super Mario RPG,216,43,223,5,Q1063119,recFqKr8XleiHWr2z
Super Mario Bros. 2,217,43,224,5,Q854479,reccBe7rX96ziUkKS
Gears of War 2,218,43,225,5,Q728989,recSmoaRBUX0V90Pf
The Walking Dead,219,43,226,5,Q939588,recVv1EkMzX8TEgb6
Panzer Dragoon Saga,220,43,229,5,Q81777,recpoTkh3JjyAriYN
Kingdom Hearts,221,43,230,5,Q225912,reccFE6beVxiV7HrZ
Max Payne 2: The Fall of Max Payne,222,43,233,5,Q946795,rec8JiGU6aYmqKRdk
Battlefield 1942,223,43,237,5,Q791439,reccaL1HJVPIadILr
Final Fantasy 10,224,43,239,5,Q223381,recheludkxROQBZZX
Contra 3: The Alien Wars,225,43,242,5,Q1368099,recui4yMkAElYnpGn
Combat,226,43,244,5,Q2588960,rec5n5UMtxrjMRJI4
Joust,227,43,246,5,Q1567550,recPM2ZPiQoVU4FsH
Populous,228,43,247,5,Q1239244,recz6r7WKjn7o4rPw
Valkyria Chronicles,229,43,248,5,Q1154150,recc5DMP3458du2Vz
Frogger,230,43,250,5,Q524267,recNVCh7EoxCo7kK9
Super Meat Boy,231,44,198,6,Q1784048,recoUgMEoANYyBMWJ
Metroid,232,44,200,5,Q2530723,rec2oQfQxHDTAcLyH
NHL '94,233,44,201,5,Q607073,rec6rgW7h4weR3Sei
StarCraft 2: Wings of Liberty,234,44,205,5,Q239288,rectNeQtyFxhpEtUj
Pokémon Gold and Silver,235,44,206,5,Q837346,rec54fLm9zVOUM0cO
Mega Man 10,236,44,216,6,Q2311673,recw4JPabVROjjVEJ
Undertale,237,44,228,5,Q21039924,rec60wlWHx5WfX9YP
Star Wars: X-Wing,238,44,232,5,Q54853,recsXU2dKHnfU3xyY
Castlevania,239,44,241,5,Q1043375,recsNFpM53NhVGITJ
Ultima 4: Quest of the Avatar,240,44,249,5,Q541988,recLMnmNFng4BnOti
Crazy Taxi,241,44,251,5,Q1139272,recvydPn2NvXViF2x
Wave Race 64,242,45,219,5,Q3142278,recaUY2KThkfUD9Jt
WipEout 2097,243,45,231,5,Q3004206,recJCxyuLXrCsK4KF
Ridge Racer (1993),244,45,238,5,Q15087581,recsfGKuNmnYzk6bz
Lode Runner,245,46,227,5,Q1197566,recPSRbvsDNmWuL8B
California Games,246,46,234,5,Q88855,recUTUOlmWdOQTTv1
WarioWare and Inc.: Mega Microgames!,247,46,235,5,Q1195267,rec1OQoQTQAcqxxg0
Spy Hunter,248,46,236,5,Q775291,recmO4P7XBGyXo2zZ
Nights into Dreams...,249,46,240,5,Q1855957,recoRvOIOY75iNADq
Street Fighter 4,250,46,243,5,Q914286,reclgfBTNx8DyhUyE
Bomberman (1983),251,46,245,5,Q923826,recAObBMYjXUrjDV8
Dungeon Master,252,46,251,5,Q1587638,rec6zb75WauQYbqDR
Super Castlevania 4,253,46,252,5,Q389254,recTFohQAWIO2EqOW
Plants vs. Zombies,254,46,253,5,Q379128,rec3N7pO6jp8W6kwA
TimeSplitters 2,255,46,254,5,Q282008,reclIZ98Q86rUM3OE
Alone in the Dark,256,46,255,5,Q967889,reclj6LMKgCEPnccu
The Chronicles of Riddick: Escape from Butcher Bay,257,46,256,5,Q1071800,recRi5CJMHAnzXzQW
Elite Beat Agents,258,46,259,4,Q1196429,recVlvABlpOSDNRig
Warlords,259,46,260,4,Q2589426,recUlWHKRYEjwQAcx
Tom Clancy's Splinter Cell,260,46,261,4,Q377242,recXbRRyss6ffSunz
M.U.L.E.,261,46,262,4,Q1284570,recIO35J26p6rkuaJ
Mario Kart 64,262,46,264,4,Q1046604,recNH8jvGdb3D98Yp
Warcraft 3: Reign of Chaos,263,46,265,4,Q207948,recSyFowGLNPgRDVj
Call of Duty 2,264,46,268,4,Q210298,recP9wcbf2m1GzrA3
Virtua Fighter,265,46,269,4,Q1060660,recbJVu4GhKEzQTrn
Final Fantasy 5,266,46,271,4,Q900305,recWWX8A69wRUVDIX
Quake 2,267,46,273,4,Q737103,rec3ZmE5OG2CfC2j8
BioShock Infinite,268,46,275,4,Q2074746,rec46iyasCPTlXmSS
Ultima,269,46,275,4,Q102303,recmCJgWC8IWT1h5e
Ghosts 'n Goblins,270,46,275,4,Q956303,recnVHTizgwtgYq15
A Mind Forever Voyaging,271,46,278,4,Q300483,recROCgiAuRwJ2dIO
Street Fighter 3: 3rd Strike,272,46,279,4,Q5230754,reciLRVhJ1LhEkg7q
Worms,273,46,280,4,Q278771,recPfQmKMCVpbqxGA
Theme Park,274,46,281,4,Q1543280,recXYAPVpi3WIRkyw
God Hand,275,46,284,4,Q2553176,recomUeFiltWHfYgi
SimCity 4,276,46,286,4,Q719670,recPYnoSBPessL7uN
Final Fight,277,46,287,4,Q1141946,recan4AK5ZjxicLD2
Shinobi (1987),278,46,288,4,Q2468410,rec7VAVRnZ2DSiMdp
Metal Slug,279,46,291,4,Q1627493,reclWExoaOAjtNDbb
Centipede,280,46,292,4,Q1053648,recfrXRgQWG5JOBcL
Banjo-Kazooie,281,46,293,4,Q129000,recqIqQ5qh8uGAItV
Perfect Dark,282,46,294,4,Q1408723,recb1Bn7vSv0BJITx
Bust-a-Move,283,46,296,4,Q1197521,reccjImr8pn22r59V
OutRun 2006: Coast 2 Coast,284,46,299,4,Q3358567,recPJqyWeY6bpS4iz
Super Monkey Ball,285,46,303,4,Q289882,recU9k4zQq8lNHQ43
F-Zero GX,286,46,304,4,Q1940315,reckiISFYIhbiUP2p
Age of Empires,287,46,306,4,Q220767,recmKAxpFq2Rl0eLY
Far Cry 2,288,46,310,4,Q176336,receXL21x3934k9cB
Super Smash Bros. Brawl,289,46,311,4,Q843131,reciY7OSQ4DEGzN5H
Micro Machines,290,46,312,4,Q2045111,rec8QMt5jlBOju9TM
Fable 2,291,46,313,4,Q984024,recE3vnrcnFEMM5Lw
Silent Hill,292,46,314,4,Q753164,recUKhW6w9hjTSQLR
Call of Duty,293,46,316,4,Q207797,recCjsygzY0ZlHwH3
Star Wars Knights of the Old Republic 2: The Sith Lords,294,46,317,4,Q74669,rechk00L4o4f0oqKw
Marvel vs. Capcom 2: New Age of Heroes,295,46,318,4,Q383700,rec0jwtaOJ0NLILnj
Paper Mario: The Thousand-Year Door,296,46,320,4,Q1075255,recS5uHDqdjmMpoXv
The World Ends With You,297,46,322,4,Q1416303,rec8MQVLfd3lWWGxM
Arkanoid,298,46,324,4,Q91282,reclrWiuIrzgt1Ds8
Indiana Jones and the Fate of Atlantis,299,46,325,4,Q74401,reckq0m12lJyhxs9c
Dragon Age: Origins,300,46,326,4,Q735926,recik87uygCQdbn1V
Sid Meier's Alpha Centauri,301,46,329,4,Q372412,rec9pmRhlnCVOussP
Peggle,302,46,330,4,Q2550114,recNXu1NB3PBhGXiz
Paper Mario,303,46,331,4,Q149998,recwgd1Z9rR3EkWXy
League of Legends,304,47,257,4,Q223341,reci7ZLsaYo9gERLg
Civilization 5,305,47,258,4,Q2385,recUXbTnQB6nxDPxc
Suikoden 2,306,47,262,4,Q3503174,rec27Ag2eKsZb1hoT
Tony Hawk's Pro Skater,307,47,263,4,Q2264782,recnOwtNVhxIIrZw1
Mass Effect 3,308,47,264,4,Q753511,rec8GbaA7ZZmuORwU
Hearthstone,309,47,266,4,Q8262784,recsMvbIIZT6Mwkyf
Assassin's Creed: Brotherhood,310,47,267,4,Q677351,recWdDcyNt4WZ0Wh5
Pro Evolution Soccer 4,311,47,269,4,Q1778959,recsmPZr8xroD2TXV
Super Smash Bros.,312,47,270,4,Q870981,recyjbPp0ZjwzdOgu
God of War 3,313,47,272,4,Q1129452,recACfjWsRhFl2MtY
Star Fox,314,47,273,4,Q1326889,recsraj3QA9tuh7nv
Wing Commander,315,47,274,4,Q13390015,rec3cneVkB5txRcm9
Tekken 2,316,47,276,4,Q589359,rec6osSfp7DricOW7
Virtua Fighter 2,317,47,277,4,Q2410458,recrYTOj6Bs3HvFeh
Borderlands 2,318,47,278,4,Q893422,recUR3Q8AwwQfOc5B
Stardew Valley,319,47,282,4,Q23013817,recW9FQVZcjTVsHfw
Gran Turismo 4,320,47,283,4,Q845695,recuC6HGj89puWCe7
Mega Man 3,321,47,289,4,Q2014874,recMQwzbCmLvrlpT5
Tony Hawk's Pro Skater 3,322,47,293,4,Q1463730,recPICBn2D1zotEl9
Heroes of Might and Magic 3,323,47,295,4,Q220965,rec4qgjJnVP0uiUgH
Xenoblade Chronicles,324,47,298,4,Q1287714,reczIN3N1x1LAhzGm
Assassin's Creed 4: Black Flag,325,47,301,4,Q6052688,recVWAN0tlHC1dYpJ
Super Mario Odyssey,326,47,305,4,Q28234671,recmnXHqcqvaAzTxw
Crash Bandicoot: Warped,327,47,307,4,Q840308,recGp9QTee7IhJQnz
The Witness,328,47,309,4,Q1711359,rec22GOY9GTeUAiJX
Super Bomberman,329,47,315,4,Q2702756,recxebt4vADBKk5AS
Samurai Shodown,330,47,315,4,Q1209867,recORUPrOjosSklvW
SSX 3,331,47,319,4,Q1852226,rec46A3nUnPpdEiwU
Zelda 2: The Adventure of Link,332,47,321,4,Q187339,reck5leP3CA6gVZUE
Tomb Raider (2013),333,47,323,4,Q1757876,recGMjHGfMoflQLLc
Fire Emblem Awakening,334,47,327,4,Q3072790,recxDyZ4BSTob7HF8
Shovel Knight,335,47,328,4,Q13427374,recdBf3WMtYMaXTM8
Dragon Age: Inquisition,336,47,332,4,Q4037583,rec4iv3urQm4PYNEe
Wonder Boy 3: The Dragon's Trap,337,48,285,4,Q627021,rect54DvpMZNz4uiE
Syndicate,338,48,290,4,Q1545458,recgtzXl2cS1zA9Vb
Total Annihilation,339,48,297,4,Q951384,recmTztzHOyHVSxUY
Hotline Miami,340,48,300,4,Q3389836,recW924E5Z2R3jSIn
Heavy Rain,341,48,302,4,Q647855,rec2ZUaZ1tWZ1koC7
Hitman 2: Silent Assassin,342,48,308,4,Q1037042,recCIOYZyqlGQ8xwO
Mother 3,343,48,333,3,Q2383167,recGFr4HQMhmHLLFa
Manic Miner,344,48,338,3,Q760211,recsa34V391b6lKUF
EVE Online,345,48,339,3,Q336177,recWlFReL5OvNRDAg
Gunstar Heroes,346,48,340,3,Q1069752,recfh121TFdKrCPez
Phantasy Star Online,347,48,341,3,Q2084882,recUhJ6su8mRuv0op
Dune 2,348,48,342,3,Q596631,recaOyCCyp7dWk1eZ
Guitar Hero 2,349,48,343,3,Q1798154,recdfKTpoJlv7psIo
Geometry Wars: Retro Evolved,350,48,344,3,Q2293593,recJPHWBXJeM2N7Yz
Final Fantasy 9,351,48,344,3,Q474573,recNhQcl5ctBefHAY
Herzog Zwei,352,48,345,3,Q164067,rec9f2WLNVpmnPRuk
Eternal Darkness,353,48,347,3,Q1258080,recM42PBumtgodGju
Harvest Moon,354,48,349,3,Q2700360,reciSMlhrmuNn2zEF
Dragon Quest 8: Journey of the Cursed King,355,48,351,3,Q1948338,receFkbdiiLk2vR8V
Earthworm Jim,356,48,353,3,Q727139,recDgflxeb4wKcltI
Tempest,357,48,354,3,Q1340846,recplgZYex3WnE2Ac
Street Fighter Alpha 3,358,48,355,3,Q2633628,recCXdYqPqJ8oqSjT
Sega Rally Championship,359,48,356,3,Q1754927,recyfzKVma9okTlOx
Wipeout HD,360,48,357,3,Q2700365,recXu9RblEmkF5Xlj
Samurai Shodown 2,361,48,359,3,Q2736827,recLFmMABJzVLa3QO
